archivo,origen,diapositiva_sugerida,uso_recomendado,nota
01_canvas/01_lean_canvas_nanutech.png,LEAN CANVAS - NANUTECH.png,5 - Idea TIC y Lean Canvas,Figura principal de modelo de negocio,Usar como imagen completa; no saturar con más texto en la slide.
02_diagramas_clave/01_arquitectura_general_mvp.png,Diagramas - Arquitectura/png/01_arquitectura_general_mvp.png,14 - Arquitectura general,Diagrama principal de arquitectura web-móvil-backend,Recomendado para explicar componentes activos del MVP.
02_diagramas_clave/02_vista_roles_modulos.png,Diagramas - Arquitectura/png/02_vista_roles_modulos.png,9 - Actores y canales,Roles y módulos por canal,"Útil para explicar administrador, gerente, chofer móvil y chofer web secundario."
02_diagramas_clave/03_sync_offline_basica.png,Diagramas - Arquitectura/png/07_sync_offline_basica.png,17 - App móvil / 19 - Pruebas,Explicar offline básico y sincronización posterior,Aclarar que no es offline productivo robusto.
02_diagramas_clave/04_trazabilidad_resumida_mvp.png,Diagramas - Arquitectura/png/10_trazabilidad_resumida_mvp.png,12 - Priorización y trazabilidad,"Relación entre requerimiento, diseño, implementación y prueba",Útil para defender el SDLC y no solo mostrar pantallas.
02_diagramas_clave/05_mapa_rol_modulo_api_dato.png,Diagramas - Arquitectura/png/11_mapa_rol_modulo_api_dato.png,"18 - Backend/API, seguridad y auditoría",Relación rol-módulo-API-dato,Muy útil para explicar integración técnica sin entrar al código.
02_diagramas_clave/06_arquitectura_aws_preparada.png,Diagramas - Arquitectura/png/03_arquitectura_aws_preparada.png,"20 - Despliegue, AWS y costos",Preparación para cloud/testing AWS,No afirmar producción estable.
02_diagramas_clave/07_flujo_sos_auxilio.png,Diagramas - Arquitectura/png/05_flujo_sos_auxilio.png,17 - App móvil / 18 - Alertas API,Flujo SOS y auxilio,"Usar solo si se explica como alerta puntual, no tracking."
02_diagramas_clave/08_ciclo_vida_jornada.png,Diagramas - Arquitectura/png/04_ciclo_vida_jornada.png,10 - SDLC / 16-17 Implementación,Ciclo funcional de jornada,"Opcional, sirve para explicar estados del flujo operativo."
03_modelo_datos/01_der_postgresql_central.png,Diagramas Entidad-Relaci#U00f3n/DER PostgreSQL central.png,15 - Modelo de datos / DER,Modelo de datos central,"Si se ve muy denso, usar zoom o recorte parcial en slide; dejar completo en anexos."
03_modelo_datos/02_der_sqlite_app_movil.png,Diagramas Entidad-Relaci#U00f3n/DER SQLite local de la app m#U00f3vil.png,17 - App móvil / offline,Modelo local de app móvil,Opcional para explicar cola local/offline.
04_capturas_web_admin/01_login_web.png,Capturas Sistema web/Administrador/Captura de pantalla 2026-06-03 171131.png,16 - Implementación web,Login web,Opcional; útil si se habla de autenticación por rol.
04_capturas_web_admin/02_dashboard_administrador.png,Capturas Sistema web/Administrador/Captura de pantalla 2026-06-03 171230.png,16 - Implementación web,Dashboard administrador,Figura principal para admin.
04_capturas_web_admin/03_alertas_emergencias_admin.png,Capturas Sistema web/Administrador/Captura de pantalla 2026-06-03 171510.png,16 - Implementación web / 19 - Pruebas,Alertas administrativas,Usar para explicar atención/resolución de alertas.
04_capturas_web_admin/04_gestion_camiones_admin.png,Capturas Sistema web/Administrador/Captura de pantalla 2026-06-03 171545.png,16 - Implementación web,Gestión básica de camiones,No presentar como tracking o GPS.
04_capturas_web_admin/05_consulta_conductores_admin.png,Capturas Sistema web/Administrador/Captura de pantalla 2026-06-03 171636.png,16 - Implementación web,Consulta/listado de conductores,"Usar como consulta/perfil, no CRUD completo."
04_capturas_web_admin/06_registro_jornadas_admin.png,Capturas Sistema web/Administrador/Captura de pantalla 2026-06-03 171655.png,16 - Implementación web,Registro/listado de jornadas,Figura fuerte para flujo operativo.
04_capturas_web_admin/07_auditoria_accesos_admin.png,Capturas Sistema web/Administrador/Captura de pantalla 2026-06-03 171714.png,18 - Backend/API / seguridad,Auditoría de accesos,Útil para seguridad y trazabilidad.
05_capturas_web_gerente/01_gestion_contratos_gerente.png,Capturas Sistema web/Gerente/Captura de pantalla 2026-06-03 171946.png,16 - Implementación web,Gestión de contratos,Figura principal de rol gerente.
